cpu	Fold	Training_size	Testing_size	Tree_depth	cascade_depth	nu	feature_pool_size	num_test_splits	oversampling_amount	landmark_relative_padding_mode	training_time	training_error	testing_error	model_size
36	0/4	806	269	6.0	13.0	0.155	400.0	125.0	60.0	1.0	773.6992588043213	0.029594979392795623	4.0316806793643165	82050.5654296875
36	1/4	806	269	6.0	13.0	0.155	400.0	125.0	60.0	1.0	772.4226496219635	0.03254162951686511	3.844013957834202	82101.576171875
36	2/4	806	269	6.0	13.0	0.155	400.0	125.0	60.0	1.0	778.6597955226898	0.03409249800321747	3.7879576143322278	82094.2197265625
36	3/4	807	268	6.0	13.0	0.155	400.0	125.0	60.0	1.0	767.3241040706635	0.03669674931263524	4.06027724065004	82022.8291015625
36	mean	807	268	6.0	13.0	0.155	400.0	125.0	60.0	1.0	767.3241040706635	0.03323146405637836	3.9309823730451967	82022.8291015625
36	0/4	806	269	4.0	9.0	0.23116859094840572	313.0	117.0	31.0	1.0	218.93506813049316	0.4726937510063231	4.102185073203855	14472.7822265625
36	1/4	806	269	4.0	9.0	0.23116859094840572	313.0	117.0	31.0	1.0	218.54922795295715	0.47547477170894076	3.906895052200994	14478.02734375
36	2/4	806	269	4.0	9.0	0.23116859094840572	313.0	117.0	31.0	1.0	216.29376244544983	0.4716152385896141	3.7627653538253147	14473.0234375
36	3/4	807	268	4.0	9.0	0.23116859094840572	313.0	117.0	31.0	1.0	222.42599987983704	0.45314713173494614	4.023252128734628	14479.1826171875
36	mean	807	268	4.0	9.0	0.23116859094840572	313.0	117.0	31.0	1.0	222.42599987983704	0.468232723259956	3.9487744019911983	14479.1826171875
36	0/4	806	269	6.0	16.0	0.16610656612383026	574.0	154.0	47.0	1.0	1240.7906618118286	0.004575062034739454	4.134994951274407	98333.5791015625
36	1/4	806	269	6.0	16.0	0.16610656612383026	574.0	154.0	47.0	1.0	1239.0692682266235	0.00364454094292804	4.095272921470719	98520.302734375
36	2/4	806	269	6.0	16.0	0.16610656612383026	574.0	154.0	47.0	1.0	1235.6954877376556	0.002791563275434243	3.864386225399012	98416.076171875
36	3/4	807	268	6.0	16.0	0.16610656612383026	574.0	154.0	47.0	1.0	1236.141278743744	0.0033302354399008674	4.19352569154136	98458.5888671875
36	mean	807	268	6.0	16.0	0.16610656612383026	574.0	154.0	47.0	1.0	1236.141278743744	0.003585350423250651	4.072044947421374	98458.5888671875
36	0/4	806	269	3.0	14.0	0.08958450537606265	299.0	75.0	83.0	1.0	510.16371297836304	0.8357459911219298	3.439347572386709	11286.6962890625
36	1/4	806	269	3.0	14.0	0.08958450537606265	299.0	75.0	83.0	1.0	500.33088660240173	0.8403168570634555	3.324892098428328	11287.306640625
36	2/4	806	269	3.0	14.0	0.08958450537606265	299.0	75.0	83.0	1.0	503.90556168556213	0.862455488377036	3.2907527381658093	11286.6103515625
36	3/4	807	268	3.0	14.0	0.08958450537606265	299.0	75.0	83.0	1.0	503.1322717666626	0.8327977102924545	3.3563062488049997	11286.7490234375
36	mean	807	268	3.0	14.0	0.08958450537606265	299.0	75.0	83.0	1.0	503.1322717666626	0.8428290117137189	3.3528246644464614	11286.7490234375
36	0/4	806	269	6.0	12.0	0.2776575068656036	393.0	136.0	42.0	0.0	792.9351122379303	0.0007754342431761787	4.882349700288373	73051.744140625
36	1/4	806	269	6.0	12.0	0.2776575068656036	393.0	136.0	42.0	0.0	800.9528710842133	0.00031017369727047146	4.7851839772788205	73200.7783203125
36	2/4	806	269	6.0	12.0	0.2776575068656036	393.0	136.0	42.0	0.0	804.9643886089325	0.0006203473945409429	4.765634265739968	73093.7421875
36	3/4	807	268	6.0	12.0	0.2776575068656036	393.0	136.0	42.0	0.0	791.7923810482025	0.0006195786864931846	5.001313962310258	73168.97265625
36	mean	807	268	6.0	12.0	0.2776575068656036	393.0	136.0	42.0	0.0	791.7923810482025	0.0005813835053701945	4.858620476404354	73168.97265625
36	0/4	806	269	6.0	9.0	0.1215078871385775	308.0	58.0	31.0	1.0	263.57968616485596	0.12832244424881875	4.490114906524606	56594.8642578125
36	1/4	806	269	6.0	9.0	0.1215078871385775	308.0	58.0	31.0	1.0	267.04984998703003	0.13382200686346787	4.264211814211247	56668.8603515625
36	2/4	806	269	6.0	9.0	0.1215078871385775	308.0	58.0	31.0	1.0	265.8712499141693	0.13430379993384603	4.172769703273386	56672.720703125
36	3/4	807	268	6.0	9.0	0.1215078871385775	308.0	58.0	31.0	1.0	266.8306818008423	0.1305350090947596	4.204952557849047	56692.5390625
36	mean	807	268	6.0	9.0	0.1215078871385775	308.0	58.0	31.0	1.0	266.8306818008423	0.13174581503522306	4.283012245464572	56692.5390625
36	0/4	806	269	6.0	16.0	0.0465799662974163	245.0	109.0	82.0	1.0	1376.8928339481354	0.24193476727507104	3.73301637117219	102402.8505859375
36	1/4	806	269	6.0	16.0	0.0465799662974163	245.0	109.0	82.0	1.0	1353.1876678466797	0.24267007736104923	3.494170247094793	102395.9208984375
36	2/4	806	269	6.0	16.0	0.0465799662974163	245.0	109.0	82.0	1.0	1390.943706035614	0.23929117716564619	3.4516844754273888	102374.50390625
36	3/4	807	268	6.0	16.0	0.0465799662974163	245.0	109.0	82.0	1.0	1367.2042617797852	0.2632612860014365	3.478159343202241	102358.1396484375
36	mean	807	268	6.0	16.0	0.0465799662974163	245.0	109.0	82.0	1.0	1367.2042617797852	0.24678932695080075	3.5392576092241534	102358.1396484375
36	0/4	806	269	3.0	14.0	0.0415386709497265	203.0	188.0	97.0	1.0	967.3895263671875	1.333888609335419	3.445662112223883	11255.736328125
