cpu	Fold	Training_size	Testing_size	Tree_depth	cascade_depth	nu	feature_pool_size	num_test_splits	oversampling_amount	landmark_relative_padding_mode	training_time	training_error	testing_error	model_size
36	0/4	191	64	6.0	13.0	0.155	400.0	125.0	60.0	1.0	334.40449571609497	0.0008726003490401396	78.67252341380204	59142.2392578125
36	1/4	191	64	6.0	13.0	0.155	400.0	125.0	60.0	1.0	335.6683874130249	0.0013089005235602095	92.13637407464644	59142.84375
36	2/4	191	64	6.0	13.0	0.155	400.0	125.0	60.0	1.0	334.0487730503082	0.002181500872600349	68.78918661693488	59091.89453125
36	3/4	192	63	6.0	13.0	0.155	400.0	125.0	60.0	1.0	332.5478265285492	0.004774305555555556	78.31426844639722	59259.421875
36	mean	192	63	6.0	13.0	0.155	400.0	125.0	60.0	1.0	332.5478265285492	0.0022843268251890635	79.47808813794515	59259.421875
36	0/4	191	64	4.0	9.0	0.23116859094840572	313.0	117.0	31.0	1.0	68.74830412864685	1.0638949172377061	75.40956810910068	10990.791015625
36	1/4	191	64	4.0	9.0	0.23116859094840572	313.0	117.0	31.0	1.0	72.27193927764893	1.0198103998953325	80.92843633857395	10993.5498046875
36	2/4	191	64	4.0	9.0	0.23116859094840572	313.0	117.0	31.0	1.0	71.624027967453	1.0708423981431605	72.90856582077873	10996.2314453125
36	3/4	192	63	4.0	9.0	0.23116859094840572	313.0	117.0	31.0	1.0	71.28606033325195	1.0982299016443424	73.47021388738386	10999.2265625
36	mean	192	63	4.0	9.0	0.23116859094840572	313.0	117.0	31.0	1.0	71.28606033325195	1.0631944042301353	75.6791960389593	10999.2265625
36	0/4	191	64	6.0	16.0	0.16610656612383026	574.0	154.0	47.0	1.0	418.04686856269836	0.0	88.53287558709746	70695.921875
36	1/4	191	64	6.0	16.0	0.16610656612383026	574.0	154.0	47.0	1.0	416.80151629447937	0.0	100.47296128185015	70714.0
36	2/4	191	64	6.0	16.0	0.16610656612383026	574.0	154.0	47.0	1.0	416.5231795310974	0.0	87.91082684381077	70666.056640625
36	3/4	192	63	6.0	16.0	0.16610656612383026	574.0	154.0	47.0	1.0	419.1328806877136	0.0	79.67427193437477	70820.1083984375
36	mean	192	63	6.0	16.0	0.16610656612383026	574.0	154.0	47.0	1.0	419.1328806877136	0.0	89.14773391178328	70820.1083984375
36	0/4	191	64	3.0	14.0	0.08958450537606265	299.0	75.0	83.0	1.0	132.0916142463684	7.1608553409746	41.1719562680452	8661.18359375
36	1/4	191	64	3.0	14.0	0.08958450537606265	299.0	75.0	83.0	1.0	133.05222868919373	6.595545045917632	47.70201094267566	8663.4111328125
36	2/4	191	64	3.0	14.0	0.08958450537606265	299.0	75.0	83.0	1.0	132.63312792778015	7.141507430514581	39.08120691004152	8661.6376953125
36	3/4	192	63	3.0	14.0	0.08958450537606265	299.0	75.0	83.0	1.0	132.34687900543213	7.158118888966562	38.38470277375227	8663.306640625
36	mean	192	63	3.0	14.0	0.08958450537606265	299.0	75.0	83.0	1.0	132.34687900543213	7.014006676593343	41.58496922362866	8663.306640625
36	0/4	191	64	6.0	12.0	0.2776575068656036	393.0	136.0	42.0	0.0	319.60083651542664	0.0	124.98354180724827	52541.5615234375
36	1/4	191	64	6.0	12.0	0.2776575068656036	393.0	136.0	42.0	0.0	318.33924174308777	0.0	132.76957646945633	52523.958984375
36	2/4	191	64	6.0	12.0	0.2776575068656036	393.0	136.0	42.0	0.0	311.2812342643738	0.0	128.58294335234498	52538.1708984375
36	3/4	192	63	6.0	12.0	0.2776575068656036	393.0	136.0	42.0	0.0	319.25676465034485	0.0	108.77595453763391	52625.8125
36	mean	192	63	6.0	12.0	0.2776575068656036	393.0	136.0	42.0	0.0	319.25676465034485	0.0	123.77800404167087	52625.8125
36	0/4	191	64	6.0	9.0	0.1215078871385775	308.0	58.0	31.0	1.0	128.83475732803345	0.034212135062117406	94.04885464804634	40726.6328125
36	1/4	191	64	6.0	9.0	0.1215078871385775	308.0	58.0	31.0	1.0	132.86213612556458	0.030721733665956846	97.7717023444557	40774.470703125
36	2/4	191	64	6.0	9.0	0.1215078871385775	308.0	58.0	31.0	1.0	131.94984459877014	0.029412833142396635	85.25973509053999	40791.001953125
36	3/4	192	63	6.0	9.0	0.1215078871385775	308.0	58.0	31.0	1.0	129.05654287338257	0.023871527777777776	78.93578254092067	40803.8125
36	mean	192	63	6.0	9.0	0.1215078871385775	308.0	58.0	31.0	1.0	129.05654287338257	0.029554557412062164	89.00401865599068	40803.8125
36	0/4	191	64	6.0	16.0	0.0465799662974163	245.0	109.0	82.0	1.0	449.56771516799927	1.3645613377659123	59.695905711968464	77761.7626953125
36	1/4	191	64	6.0	16.0	0.0465799662974163	245.0	109.0	82.0	1.0	452.53722643852234	1.346454145734394	61.078591894059805	77791.7724609375
36	2/4	191	64	6.0	16.0	0.0465799662974163	245.0	109.0	82.0	1.0	452.0737247467041	1.3946013577772298	43.64632058576498	77781.8251953125
36	3/4	192	63	6.0	16.0	0.0465799662974163	245.0	109.0	82.0	1.0	457.759640455246	1.4338926972183004	46.71093252248184	77698.3330078125
36	mean	192	63	6.0	16.0	0.0465799662974163	245.0	109.0	82.0	1.0	457.759640455246	1.384877384623959	52.78293767856877	77698.3330078125
36	0/4	191	64	3.0	16.0	0.029754968628110695	475.0	75.0	88.0	1.0	161.04502201080322	8.958021988253103	36.77106075664187	9973.0439453125
36	1/4	191	64	3.0	16.0	0.029754968628110695	475.0	75.0	88.0	1.0	160.14262008666992	7.881964414778771	48.39047826506576	9973.2451171875
36	2/4	191	64	3.0	16.0	0.029754968628110695	475.0	75.0	88.0	1.0	162.99609804153442	8.772174829315036	39.654652074809924	9972.97265625
36	3/4	192	63	3.0	16.0	0.029754968628110695	475.0	75.0	88.0	1.0	160.86383175849915	8.900396451538308	38.08972069135775	9973.94140625
36	mean	192	63	3.0	16.0	0.029754968628110695	475.0	75.0	88.0	1.0	160.86383175849915	8.628139420971303	40.72647794696882	9973.94140625
36	0/4	191	64	3.0	9.0	0.016541589884508618	269.0	198.0	71.0	1.0	123.56827092170715	24.334318791813352	45.46043617688192	5559.9931640625
36	1/4	191	64	3.0	9.0	0.016541589884508618	269.0	198.0	71.0	1.0	124.82274675369263	22.724909433180954	46.24796833784324	5560.08984375
36	2/4	191	64	3.0	9.0	0.016541589884508618	269.0	198.0	71.0	1.0	126.09893536567688	25.214087190720925	41.79774121163762	5559.7705078125
36	3/4	192	63	3.0	9.0	0.016541589884508618	269.0	198.0	71.0	1.0	127.39140391349792	24.969281986631184	46.05717300446114	5560.0859375
36	mean	192	63	3.0	9.0	0.016541589884508618	269.0	198.0	71.0	1.0	127.39140391349792	24.310649350586605	44.89082968270598	5560.0859375
36	0/4	191	64	3.0	16.0	0.010000000000000002	475.0	75.0	88.0	1.0	163.43760418891907	21.779848859696276	39.93274472839881	9973.4072265625
36	1/4	191	64	3.0	16.0	0.010000000000000002	475.0	75.0	88.0	1.0	162.30038022994995	19.889413279170874	49.044605974038454	9973.4384765625
36	2/4	191	64	3.0	16.0	0.010000000000000002	475.0	75.0	88.0	1.0	163.3876130580902	22.06426031093009	41.09283594744844	9973.068359375
36	3/4	192	63	3.0	16.0	0.010000000000000002	475.0	75.0	88.0	1.0	160.5349133014679	21.846895196231685	42.21732115219452	9973.7890625
36	mean	192	63	3.0	16.0	0.010000000000000002	475.0	75.0	88.0	1.0	160.5349133014679	21.395104411507234	43.07187695052006	9973.7890625
36	0/4	191	64	5.0	9.0	0.05289929512726808	543.0	54.0	89.0	1.0	154.4166443347931	4.863979549455196	43.973041860014746	22330.9873046875
36	1/4	191	64	5.0	9.0	0.05289929512726808	543.0	54.0	89.0	1.0	153.26865315437317	4.777190115990645	53.645351982780085	22348.048828125
36	2/4	191	64	5.0	9.0	0.05289929512726808	543.0	54.0	89.0	1.0	151.2731695175171	5.08388671211032	38.28936595762475	22333.806640625
36	3/4	192	63	5.0	9.0	0.05289929512726808	543.0	54.0	89.0	1.0	152.642516374588	5.043312346089038	42.04326603658728	22329.5830078125
36	mean	192	63	5.0	9.0	0.05289929512726808	543.0	54.0	89.0	1.0	152.642516374588	4.9420921809113	44.48775645925171	22329.5830078125
36	0/4	191	64	3.0	16.0	0.028932426170276734	475.0	75.0	88.0	1.0	158.49622058868408	9.274397151733856	37.32138394020278	9972.9404296875
36	1/4	191	64	3.0	16.0	0.028932426170276734	475.0	75.0	88.0	1.0	160.04337644577026	8.216429562619334	49.19714215903415	9973.76171875
36	2/4	191	64	3.0	16.0	0.028932426170276734	475.0	75.0	88.0	1.0	160.24840474128723	9.01376289601912	39.291970903631444	9972.806640625
36	3/4	192	63	3.0	16.0	0.028932426170276734	475.0	75.0	88.0	1.0	160.61926984786987	8.918477957046814	37.9839563903122	9973.67578125
36	mean	192	63	3.0	16.0	0.028932426170276734	475.0	75.0	88.0	1.0	160.61926984786987	8.855766891854781	40.94861334829514	9973.67578125
36	0/4	191	64	3.0	12.0	0.01573794764726378	295.0	68.0	98.0	1.0	105.74434041976929	21.357061417999322	41.54379959725596	7424.845703125
36	1/4	191	64	3.0	12.0	0.01573794764726378	295.0	68.0	98.0	1.0	107.95207667350769	20.01018375609603	49.78504335196698	7424.806640625
36	2/4	191	64	3.0	12.0	0.01573794764726378	295.0	68.0	98.0	1.0	106.22624278068542	21.92991674939217	42.06221938559879	7424.03515625
36	3/4	192	63	3.0	12.0	0.01573794764726378	295.0	68.0	98.0	1.0	108.07127499580383	21.789281596848475	41.39837642387437	7425.291015625
36	mean	192	63	3.0	12.0	0.01573794764726378	295.0	68.0	98.0	1.0	108.07127499580383	21.271610880083998	43.69735968967402	7425.291015625
36	0/4	191	64	3.0	16.0	0.08863182145951526	475.0	75.0	88.0	1.0	161.99344992637634	5.435429651036745	43.22638424278393	9971.9345703125
36	1/4	191	64	3.0	16.0	0.08863182145951526	475.0	75.0	88.0	1.0	160.3002781867981	5.1092268816477455	46.90702005865183	9972.888671875
36	2/4	191	64	3.0	16.0	0.08863182145951526	475.0	75.0	88.0	1.0	157.48660016059875	5.530900856098273	36.90490848131783	9971.4140625
36	3/4	192	63	3.0	16.0	0.08863182145951526	475.0	75.0	88.0	1.0	158.58936548233032	5.3146294521753035	36.84132845409271	9972.5791015625
36	mean	192	63	3.0	16.0	0.08863182145951526	475.0	75.0	88.0	1.0	158.58936548233032	5.347546710239516	40.96991030921158	9972.5791015625
36	0/4	191	64	3.0	9.0	0.017874152826792722	296.0	184.0	95.0	1.0	155.74361848831177	22.776172404591584	40.654285243356426	5569.0029296875
36	1/4	191	64	3.0	9.0	0.017874152826792722	296.0	184.0	95.0	1.0	156.6419539451599	21.779496675126403	50.37655144930927	5568.6435546875
36	2/4	191	64	3.0	9.0	0.017874152826792722	296.0	184.0	95.0	1.0	158.33887243270874	23.63274616460913	40.17466771065586	5568.71875
36	3/4	192	63	3.0	9.0	0.017874152826792722	296.0	184.0	95.0	1.0	159.29135155677795	23.293618220651002	40.58465376188986	5568.7578125
36	mean	192	63	3.0	9.0	0.017874152826792722	296.0	184.0	95.0	1.0	159.29135155677795	22.87050836624453	42.94753954130285	5568.7578125
36	0/4	191	64	3.0	16.0	0.05919339504381298	475.0	75.0	88.0	1.0	160.50708556175232	6.482873583805138	39.64916885806681	9972.005859375
36	1/4	191	64	3.0	16.0	0.05919339504381298	475.0	75.0	88.0	1.0	160.88097882270813	5.756486418387381	44.853368280602744	9973.4169921875
36	2/4	191	64	3.0	16.0	0.05919339504381298	475.0	75.0	88.0	1.0	158.98543000221252	6.3939729098430185	39.64240429764734	9972.123046875
36	3/4	192	63	3.0	16.0	0.05919339504381298	475.0	75.0	88.0	1.0	161.1206078529358	6.329169279462308	36.380193296126485	9973.5693359375
36	mean	192	63	3.0	16.0	0.05919339504381298	475.0	75.0	88.0	1.0	161.1206078529358	6.240625547874462	40.131283683110844	9973.5693359375
36	0/4	191	64	3.0	13.0	0.04798065918403849	500.0	90.0	99.0	1.0	154.0993161201477	8.28726361894081	42.49727375147598	8110.6943359375
36	1/4	191	64	3.0	13.0	0.04798065918403849	500.0	90.0	99.0	1.0	159.06599497795105	7.126256748724492	47.3224768730093	8110.40625
36	2/4	191	64	3.0	13.0	0.04798065918403849	500.0	90.0	99.0	1.0	157.89451265335083	8.45894838889059	39.115866164978435	8109.796875
36	3/4	192	63	3.0	13.0	0.04798065918403849	500.0	90.0	99.0	1.0	157.4481749534607	8.374108151096339	38.46371312193544	8110.1494140625
36	mean	192	63	3.0	13.0	0.04798065918403849	500.0	90.0	99.0	1.0	157.4481749534607	8.061644226913058	41.84983247784979	8110.1494140625
36	0/4	191	64	3.0	16.0	0.05669438497453991	475.0	75.0	88.0	1.0	159.94722938537598	6.570345847927308	38.99086991612686	9971.771484375
36	1/4	191	64	3.0	16.0	0.05669438497453991	475.0	75.0	88.0	1.0	158.55109477043152	5.921722485316386	46.31107288635652	9972.5283203125
