id;IND_id;FC;Species;Location;Alt.;Alt. Zone;Mt.;Crete;Sex
10;FC226IND10;226;Carabus banoni;Kournas Lake;30;400;;West;F
11;FC226IND11;226;Carabus banoni;Kournas Lake;30;400;;West;F
12;FC226IND12;226;Carabus banoni;Kournas Lake;30;400;;West;F
13;FC226IND13;226;Carabus banoni;Kournas Lake;30;400;;West;F
14;FC226IND14;226;Carabus banoni;Kournas Lake;30;400;;West;F
15;FC226IND15;226;Carabus banoni;Kournas Lake;30;400;;West;F
16;FC226IND16;226;Carabus banoni;Kournas Lake;30;400;;West;F
17;FC226IND17;226;Carabus banoni;Kournas Lake;30;400;;West;F
18;FC226IND18;226;Carabus banoni;Kournas Lake;30;400;;West;F
1;FC226IND1;226;Carabus banoni;Kournas Lake;30;400;;West;M
2;FC226IND2;226;Carabus banoni;Kournas Lake;30;400;;West;M
3;FC226IND3;226;Carabus banoni;Kournas Lake;30;400;;West;M
4;FC226IND4;226;Carabus banoni;Kournas Lake;30;400;;West;M
5;FC226IND5;226;Carabus banoni;Kournas Lake;30;400;;West;M
6;FC226IND6;226;Carabus banoni;Kournas Lake;30;400;;West;M
7;FC226IND7;226;Carabus banoni;Kournas Lake;30;400;;West;M
8;FC226IND8;226;Carabus banoni;Kournas Lake;30;400;;West;M
9;FC226IND9;226;Carabus banoni;Kournas Lake;30;400;;West;M
11;FC342IND11;342;Carabus banoni;Metochi, Vatisiana to Alyki, Gavdos;56;400;;Gavdos;F
12;FC342IND12;342;Carabus banoni;Metochi, Vatisiana to Alyki, Gavdos;56;400;;Gavdos;F
13;FC342IND13;342;Carabus banoni;Metochi, Vatisiana to Alyki, Gavdos;56;400;;Gavdos;F
14;FC342IND14;342;Carabus banoni;Metochi, Vatisiana to Alyki, Gavdos;56;400;;Gavdos;F
15;FC342IND15;342;Carabus banoni;Metochi, Vatisiana to Alyki, Gavdos;56;400;;Gavdos;F
1;FC342IND1;342;Carabus banoni;Metochi, Vatisiana to Alyki, Gavdos;56;400;;Gavdos;M
2;FC342IND2;342;Carabus banoni;Metochi, Vatisiana to Alyki, Gavdos;56;400;;Gavdos;M
3;FC342IND3;342;Carabus banoni;Metochi, Vatisiana to Alyki, Gavdos;56;400;;Gavdos;M
4;FC342IND4;342;Carabus banoni;Metochi, Vatisiana to Alyki, Gavdos;56;400;;Gavdos;M
5;FC342IND5;342;Carabus banoni;Metochi, Vatisiana to Alyki, Gavdos;56;400;;Gavdos;M
6;FC342IND6;342;Carabus banoni;Metochi, Vatisiana to Alyki, Gavdos;56;400;;Gavdos;M
7;FC342IND7;342;Carabus banoni;Metochi, Vatisiana to Alyki, Gavdos;56;400;;Gavdos;M
8;FC342IND8;342;Carabus banoni;Metochi, Vatisiana to Alyki, Gavdos;56;400;;Gavdos;M
9;FC342IND9;342;Carabus banoni;Metochi, Vatisiana to Alyki, Gavdos;56;400;;Gavdos;M
10;FC342IND10;342;Carabus banoni;Metochi, Vatisiana to Alyki, Gavdos;56;400;;Gavdos;M
11;FC1046IND11;1046;Carabus banoni;Cha gorge;150;400;;East;F
12;FC1046IND12;1046;Carabus banoni;Cha gorge;150;400;;East;F
13;FC1046IND13;1046;Carabus banoni;Cha gorge;150;400;;East;F
14;FC1046IND14;1046;Carabus banoni;Cha gorge;150;400;;East;F
15;FC1046IND15;1046;Carabus banoni;Cha gorge;150;400;;East;F
16;FC1046IND16;1046;Carabus banoni;Cha gorge;150;400;;East;F
17;FC1046IND17;1046;Carabus banoni;Cha gorge;150;400;;East;F
18;FC1046IND18;1046;Carabus banoni;Cha gorge;150;400;;East;F
19;FC1046IND19;1046;Carabus banoni;Cha gorge;150;400;;East;F
20;FC1046IND20;1046;Carabus banoni;Cha gorge;150;400;;East;F
1;FC1046IND1;1046;Carabus banoni;Cha gorge;150;400;;East;M
2;FC1046IND2;1046;Carabus banoni;Cha gorge;150;400;;East;M
3;FC1046IND3;1046;Carabus banoni;Cha gorge;150;400;;East;M
4;FC1046IND4;1046;Carabus banoni;Cha gorge;150;400;;East;M
5;FC1046IND5;1046;Carabus banoni;Cha gorge;150;400;;East;M
6;FC1046IND6;1046;Carabus banoni;Cha gorge;150;400;;East;M
7;FC1046IND7;1046;Carabus banoni;Cha gorge;150;400;;East;M
8;FC1046IND8;1046;Carabus banoni;Cha gorge;150;400;;East;M
9;FC1046IND9;1046;Carabus banoni;Cha gorge;150;400;;East;M
10;FC1046IND10;1046;Carabus banoni;Cha gorge;150;400;;East;M
10;FC1103IND10;1103;Carabus banoni;Moni Toplou;170;400;;East;F
11;FC1103IND11;1103;Carabus banoni;Moni Toplou;170;400;;East;F
12;FC1103IND12;1103;Carabus banoni;Moni Toplou;170;400;;East;F
13;FC1103IND13;1103;Carabus banoni;Moni Toplou;170;400;;East;F
14;FC1103IND14;1103;Carabus banoni;Moni Toplou;170;400;;East;F
15;FC1103IND15;1103;Carabus banoni;Moni Toplou;170;400;;East;F
16;FC1103IND16;1103;Carabus banoni;Moni Toplou;170;400;;East;F
17;FC1103IND17;1103;Carabus banoni;Moni Toplou;170;400;;East;F
18;FC1103IND18;1103;Carabus banoni;Moni Toplou;170;400;;East;F
1;FC1103IND1;1103;Carabus banoni;Moni Toplou;170;400;;East;M
2;FC1103IND2;1103;Carabus banoni;Moni Toplou;170;400;;East;M
3;FC1103IND3;1103;Carabus banoni;Moni Toplou;170;400;;East;M
4;FC1103IND4;1103;Carabus banoni;Moni Toplou;170;400;;East;M
5;FC1103IND5;1103;Carabus banoni;Moni Toplou;170;400;;East;M
6;FC1103IND6;1103;Carabus banoni;Moni Toplou;170;400;;East;M
7;FC1103IND7;1103;Carabus banoni;Moni Toplou;170;400;;East;M
8;FC1103IND8;1103;Carabus banoni;Moni Toplou;170;400;;East;M
9;FC1103IND9;1103;Carabus banoni;Moni Toplou;170;400;;East;M
10;FC328IND10;328;Carabus banoni;Gramvousa;400;400;;West;F
11;FC328IND11;328;Carabus banoni;Gramvousa;400;400;;West;F
12;FC328IND12;328;Carabus banoni;Gramvousa;400;400;;West;F
13;FC328IND13;328;Carabus banoni;Gramvousa;400;400;;West;F
14;FC328IND14;328;Carabus banoni;Gramvousa;400;400;;West;F
15;FC328IND15;328;Carabus banoni;Gramvousa;400;400;;West;F
16;FC328IND16;328;Carabus banoni;Gramvousa;400;400;;West;F
11;FC1045IND11;1045;Carabus banoni;Kroustas;400;400;;East;F
12;FC1045IND12;1045;Carabus banoni;Kroustas;400;400;;East;F
13;FC1045IND13;1045;Carabus banoni;Kroustas;400;400;;East;F
14;FC1045IND14;1045;Carabus banoni;Kroustas;400;400;;East;F
15;FC1045IND15;1045;Carabus banoni;Kroustas;400;400;;East;F
16;FC1045IND16;1045;Carabus banoni;Kroustas;400;400;;East;F
17;FC1045IND17;1045;Carabus banoni;Kroustas;400;400;;East;F
18;FC1045IND18;1045;Carabus banoni;Kroustas;400;400;;East;F
1;FC328IND1;328;Carabus banoni;Gramvousa;400;400;;West;M
2;FC328IND2;328;Carabus banoni;Gramvousa;400;400;;West;M
3;FC328IND3;328;Carabus banoni;Gramvousa;400;400;;West;M
4;FC328IND4;328;Carabus banoni;Gramvousa;400;400;;West;M
5;FC328IND5;328;Carabus banoni;Gramvousa;400;400;;West;M
6;FC328IND6;328;Carabus banoni;Gramvousa;400;400;;West;M
7;FC328IND7;328;Carabus banoni;Gramvousa;400;400;;West;M
8;FC328IND8;328;Carabus banoni;Gramvousa;400;400;;West;M
9;FC328IND9;328;Carabus banoni;Gramvousa;400;400;;West;M
